gender,age,income,education,credit_score,employment_years,loan_amount,loan_approved
Male,42,52002,High School,535,23,475366,0
Male,54,44880,High School,590,34,467755,1
Male,18,49826,Bachelor,338,28,134306,0
Male,32,39900,High School,482,37,162307,1
Male,54,40391,High School,329,4,196644,0
Male,30,37704,High School,687,23,300510,1
Female,57,62649,High School,442,18,318491,0
Female,25,52578,Bachelor,718,8,37837,0
Male,22,63778,Master,373,25,275283,1
Female,26,65380,Bachelor,354,24,145657,0
Female,18,43101,Bachelor,323,34,270803,0
Female,53,63223,Bachelor,321,35,358905,0
Female,52,49788,Bachelor,727,13,10634,0
Male,19,47619,Bachelor,331,5,121969,0
Female,57,68785,High School,638,31,372270,1
Male,40,58306,Bachelor,814,25,8682,1
Female,26,44713,Master,811,14,433667,1
Female,51,57331,High School,369,30,206170,0
Female,63,31014,Master,387,36,402868,0
Male,31,53709,Bachelor,518,37,378629,1
Female,21,27506,Bachelor,569,36,485067,0
Male,47,35234,High School,377,18,80038,0
Female,48,58769,Bachelor,309,13,468465,0
Male,55,15000,Master,767,35,403629,1
Female,28,77037,Bachelor,635,36,26984,0
Male,52,62517,High School,485,10,263181,0
Male,25,22422,High School,845,26,287631,1
Female,20,85977,Bachelor,420,1,7075,0
Male,31,90111,Bachelor,573,21,431766,1
Female,30,47292,Bachelor,709,1,90726,0
Female,62,36102,PhD,657,19,364943,0
Female,49,75294,Bachelor,397,16,47293,0
Female,51,44843,Bachelor,540,3,475661,0
Female,62,52415,High School,413,13,165284,0
Female,36,68259,High School,786,6,282106,1
Female,55,47697,Bachelor,540,14,151925,0
Female,33,46384,Master,455,29,317353,0
Female,19,30914,Bachelor,651,15,498574,0
Female,57,40541,Bachelor,343,39,215983,0
Female,34,46088,High School,611,1,245969,0
Male,51,31421,PhD,437,18,444180,0
Male,59,32780,PhD,735,0,334789,0
Female,33,50504,Bachelor,442,30,458717,0
Female,55,22254,High School,598,3,393820,0
Female,19,36812,Bachelor,561,26,258043,0
Female,19,79168,Master,811,24,393672,1
Female,43,44817,Bachelor,361,21,71856,0
Female,30,42939,Bachelor,722,9,380162,0
Female,64,44750,High School,695,32,348667,1
Female,48,44987,High School,330,29,42185,0
Male,51,58623,High School,629,29,205307,1
Female,56,57572,Master,468,15,448100,0
Male,20,44138,Bachelor,565,8,198930,0
Female,25,46792,Bachelor,607,16,98745,0
Female,40,69691,High School,758,34,462542,0
Male,31,27345,Master,484,14,44330,0
Female,44,49136,Master,633,27,254309,0
Male,46,52028,High School,814,19,313559,1
Female,56,38349,Master,740,32,328150,0
Female,56,48272,High School,690,32,185199,0
Male,18,36324,High School,553,35,27547,0
Female,34,59557,High School,634,12,290083,0
Male,58,29926,Master,699,3,346882,1
Female,47,65935,Master,465,22,361900,0
Male,30,48900,High School,559,7,223370,0
Male,38,43279,Bachelor,303,12,472548,0
Female,36,34929,Bachelor,418,23,137794,0
Female,36,65459,Master,769,39,441580,1
Male,42,40222,High School,769,29,379984,1
Female,39,32491,Bachelor,792,29,16674,0
Female,48,65771,Bachelor,799,24,381095,1
Female,34,36435,High School,369,32,397239,0
Male,40,48582,High School,669,8,401028,1
Male,49,62282,Bachelor,480,25,244149,0
Male,27,52369,High School,304,23,127225,0
Male,27,75962,PhD,496,32,400494,1
Male,53,37475,High School,346,38,171190,0
Male,25,46842,PhD,439,24,205231,0
Male,69,48002,High School,839,14,404746,1
Male,37,59318,High School,726,5,54866,1
Male,49,69329,High School,609,19,348667,1
Female,67,51104,Bachelor,573,15,399140,0
Male,31,47935,Bachelor,838,20,24546,1
Female,67,27755,High School,689,14,320449,0
Female,45,51685,High School,758,38,107833,1
Female,63,40245,Bachelor,660,3,476022,0
Male,69,59276,Bachelor,368,23,155025,1
Male,41,43854,Bachelor,730,2,171655,1
Male,32,46390,High School,331,0,224964,0
Male,39,28095,Bachelor,812,29,264832,1
Female,47,22828,Bachelor,481,12,206186,0
Male,21,77914,PhD,547,17,271606,0
Male,30,51945,Bachelor,596,39,268032,1
Male,40,56065,High School,329,10,355012,1
Male,25,36315,High School,601,28,221470,1
Male,35,63132,Bachelor,775,3,90509,1
Female,29,60427,Bachelor,651,24,116946,1
Male,48,37963,Master,781,35,334403,1
Female,31,34107,Bachelor,616,35,290554,0
Male,51,39012,Bachelor,696,39,13602,1
Female,35,49575,Bachelor,388,27,23614,0
Male,51,52506,Bachelor,533,7,389286,1
Male,28,50575,High School,467,20,392229,1
Female,58,69480,High School,425,34,23444,0
Female,29,39275,Bachelor,419,17,320194,0
Female,66,33700,High School,727,24,73149,0
Male,32,50001,High School,489,4,126703,0
Female,48,24603,High School,727,7,375452,0
Male,66,60436,High School,501,22,355762,0
Male,46,51469,High School,358,2,121490,0
Female,43,44929,Bachelor,522,36,479732,0
Female,35,44096,Bachelor,791,30,49866,0
Male,49,63649,Bachelor,310,28,464429,0
Male,39,63172,Bachelor,811,19,474854,1
Female,55,46304,PhD,609,2,193311,0
Female,34,58876,High School,333,22,124401,0
Female,40,62950,Bachelor,639,39,111034,0
Male,41,55032,High School,780,20,48211,1
Male,67,46918,Bachelor,392,12,401220,0
Male,25,55717,Master,432,7,68789,1
Male,58,34413,Bachelor,718,4,249778,1
Male,23,51066,Bachelor,767,24,79522,1
Male,22,46503,Bachelor,743,38,69084,1
Female,61,44152,Bachelor,329,36,104032,0
Male,46,24102,High School,597,4,293413,0
Male,45,34586,Bachelor,360,7,84709,0
Male,28,42711,Bachelor,757,3,118145,1
Female,18,63425,High School,603,21,26118,1
Male,60,54287,High School,639,13,234566,1
Male,36,64095,Master,747,18,281233,1
Female,26,68643,High School,601,12,386826,0
Male,44,54939,High School,839,34,47956,1
Male,51,52104,Bachelor,784,3,244675,1
Male,61,35405,High School,376,32,484002,1
Male,21,79800,Bachelor,814,21,358745,1
Male,53,28732,Bachelor,848,0,84226,1
Female,35,51781,Bachelor,391,10,411956,0
Female,32,62491,High School,765,15,113605,0
Female,68,62701,Bachelor,765,3,240415,0
Male,30,32673,Master,339,28,371893,0
Male,36,43701,High School,628,38,374277,1
Male,66,38015,High School,584,37,467797,0
Female,23,20293,Master,365,23,132974,0
Male,65,51954,High School,408,8,338304,0
Male,29,39235,High School,714,7,353222,0
Female,68,72582,High School,391,13,48779,0
Male,54,59227,High School,667,14,156567,1
Female,34,50621,High School,722,21,306746,0
Female,40,42909,Bachelor,539,36,407249,0
Female,43,51726,Bachelor,734,14,189175,0
Male,46,46161,High School,511,5,223212,0
Male,50,51043,Master,699,0,418658,1
Male,44,78524,Bachelor,825,19,8247,1
Male,42,34028,PhD,767,35,186440,1
Male,27,47470,PhD,469,1,136012,0
Male,64,60595,Bachelor,509,5,453460,0
Male,40,43997,Master,555,1,111284,0
Female,38,73708,Bachelor,372,2,423690,0
Male,38,60176,Master,446,6,463000,0
Female,60,39216,High School,639,19,403802,0
Male,30,53061,High School,616,4,323372,1
Male,54,39430,Bachelor,453,24,275084,1
Male,50,38050,Bachelor,554,37,285750,1
Female,41,47897,Master,650,17,112753,0
Female,61,68956,Master,846,0,307891,1
Female,28,61181,High School,611,24,462943,0
Female,34,49661,Master,433,16,170354,0
Male,21,61717,High School,428,14,324904,0
Female,64,54029,High School,735,4,461212,0
Male,42,32451,Bachelor,579,16,247114,1
Male,47,47822,High School,657,20,7883,1
Female,26,48902,Bachelor,551,22,434810,0
Female,38,61425,Bachelor,434,9,232103,0
Female,37,41502,High School,822,16,214175,1
Female,36,36310,Bachelor,618,0,74875,0
Female,36,49316,Bachelor,379,36,497194,0
Female,29,40318,High School,490,6,355353,0
Female,54,45147,High School,752,11,413642,0
Female,59,48786,Master,643,39,152558,0
Male,34,44254,Master,329,0,81085,0
Female,54,64447,High School,713,19,271137,0
Female,65,71214,High School,667,30,410435,1
Male,56,62943,Master,801,3,270852,1
Female,45,23432,Bachelor,320,25,33788,0
Male,58,40370,High School,848,11,6495,1
Male,52,47320,Bachelor,545,21,231042,1
Female,64,22305,Bachelor,582,0,434376,0
Male,65,36861,Bachelor,531,0,115002,0
Male,35,47128,High School,615,2,143609,1
Male,31,43265,Bachelor,635,11,171625,1
Male,52,50129,High School,710,20,158275,1
Female,61,29287,PhD,544,12,392258,0
Male,58,43095,Bachelor,686,12,385491,0
Female,24,52278,Bachelor,657,17,452248,1
Male,58,50153,Bachelor,321,32,338268,0
Male,30,56703,Bachelor,318,5,229916,0
Male,35,55828,Master,586,24,370250,1
Male,54,43893,High School,575,22,478963,1
Female,30,51801,Master,371,23,42659,0
Female,53,38000,High School,664,36,378208,1
Male,48,45946,High School,634,25,331187,0
Male,19,34165,Bachelor,498,3,270669,0
Female,33,65981,Bachelor,316,37,483653,0
Male,26,45897,Master,517,34,271921,1
Male,26,65959,Bachelor,446,10,205797,1
Male,55,54672,Bachelor,509,35,181863,0
Female,28,36715,Master,713,24,93853,0
Female,39,53766,High School,629,19,256897,0
Female,50,62145,Master,651,0,265133,0
Male,53,48836,Bachelor,462,29,167573,1
Male,62,51110,High School,400,3,130409,1
Female,40,41728,High School,626,22,70258,0
Female,62,50361,Bachelor,626,34,388086,0
Female,62,53568,High School,454,21,482049,0
Female,51,41317,High School,309,30,81185,0
Male,26,33810,High School,652,0,28719,1
Female,41,69319,High School,482,3,379325,0
Male,25,59061,Bachelor,754,18,134420,1
Female,24,41785,Master,305,29,71686,0
Male,53,53294,High School,632,0,215909,1
Female,35,27821,Bachelor,632,18,164506,0
Female,20,20343,High School,557,20,238513,0
Female,45,66261,Bachelor,510,21,25520,0
Female,23,53443,Master,350,1,324025,0
Male,61,49284,Bachelor,744,5,399726,1
Female,61,53489,Master,676,20,295690,0
Male,38,98391,Bachelor,785,32,281126,1
Male,45,63036,Bachelor,350,18,74451,1
Male,57,34318,Bachelor,453,26,478486,1
Male,18,24794,Master,609,36,486461,1
Female,53,65818,Master,698,28,24636,1
Male,38,62841,Bachelor,433,27,234292,1
Male,60,58625,Master,519,33,262701,1
Male,52,37806,High School,462,0,194159,0
Female,30,55449,Master,801,24,147029,1
Female,66,39149,High School,414,20,303850,0
Female,27,59941,High School,798,33,122199,1
Female,61,64739,High School,771,25,366521,0
Male,64,41847,PhD,448,35,67871,1
Male,27,66977,Master,540,34,135448,1
Female,63,51722,Master,422,22,66737,0
Male,30,57378,Master,368,16,236568,0
Male,54,30355,Bachelor,362,11,45975,0
Male,55,53483,Master,315,19,364508,0
Female,41,39866,PhD,689,38,110687,1
Female,19,57119,Bachelor,557,26,426345,1
Male,39,72007,High School,516,36,42939,1
Female,34,54342,Bachelor,778,19,332203,1
Female,53,36487,PhD,413,10,13298,0
Female,31,59396,Master,679,27,124002,1
Female,27,56026,Master,536,1,200494,0
Female,52,80879,Master,775,23,11480,1
Male,42,53809,Master,428,15,491296,1
Female,20,41217,Bachelor,809,11,247034,1
Male,64,61559,Bachelor,464,15,458605,0
Male,55,48084,High School,576,35,335537,0
Female,34,51203,Bachelor,556,1,9349,0
Male,29,36072,Bachelor,431,24,71964,1
Male,69,48163,Master,556,28,44491,1
Male,41,50462,Bachelor,440,27,392032,1
Female,46,48074,High School,508,9,182850,0
Female,60,41136,High School,818,22,355843,1
Male,42,54323,Bachelor,350,31,163749,0
Female,53,36147,Bachelor,802,30,101440,1
Female,43,32615,High School,558,18,264360,0
Female,55,60643,High School,477,14,348398,0
Female,18,59266,Bachelor,842,32,85345,1
Male,37,30385,High School,655,16,149344,1
Male,45,22556,High School,617,35,147900,1
Female,33,34868,High School,663,19,49431,0
Female,64,48075,Bachelor,354,8,406072,0
Male,34,67315,Bachelor,455,37,16223,1
Male,57,47708,High School,343,2,306557,0
Female,45,38459,Master,841,1,61822,1
Male,29,52228,High School,621,17,40689,1
Female,44,48289,High School,313,22,471918,0
Female,59,29284,High School,656,18,454612,0
Male,64,29374,High School,782,6,279781,1
Male,47,29777,High School,658,34,182606,1
Female,58,87197,High School,617,19,464630,1
Female,51,62899,Bachelor,374,19,474456,0
Male,54,41094,Bachelor,493,18,341182,0
Female,23,66624,Bachelor,662,15,282410,1
Male,24,41479,Bachelor,395,37,53068,0
Female,49,66127,High School,339,20,366769,0
Male,49,51204,Master,696,28,180428,1
Male,42,40117,High School,406,37,353439,1
Male,50,60197,Bachelor,316,23,151118,1
Female,24,52062,High School,826,36,393213,0
Female,69,55974,Master,798,28,30270,1
Male,29,53232,Bachelor,824,30,124693,1
Female,33,53075,High School,342,38,81342,0
Male,33,62008,Bachelor,649,11,242838,0
Male,60,88757,High School,329,29,387468,0
Female,53,68731,Bachelor,740,3,42988,0
Female,30,53294,Bachelor,841,29,129291,1
Male,24,45340,High School,754,4,264357,1
Female,53,46988,High School,393,15,319323,0
Female,64,31158,High School,594,26,40892,0
Male,68,59968,Bachelor,848,3,121441,1
Male,26,34776,High School,388,7,427728,1
Female,49,44413,Bachelor,802,7,195237,0
Male,28,60055,PhD,513,16,373634,0
Male,25,46440,High School,721,2,141171,1
Female,50,42615,PhD,825,26,320631,1
Male,40,32037,Bachelor,491,33,100847,1
Male,42,68079,High School,523,20,210160,0
Female,25,37501,Bachelor,686,23,475379,0
Female,62,41211,Bachelor,773,28,95845,0
Male,39,23124,Bachelor,502,38,317147,0
Male,21,49702,High School,746,5,251619,1
Female,57,45000,High School,367,13,378436,0
Female,20,52727,Bachelor,391,13,334030,0
Female,46,32380,Bachelor,477,36,213884,0
Female,58,61012,Bachelor,302,23,16739,0
Male,46,22411,High School,402,12,353982,0
Female,51,48617,Master,572,0,109034,0
Female,51,51732,PhD,833,11,279528,1
Male,45,50866,High School,415,23,169166,0
Female,30,52366,High School,763,36,138192,1
Male,32,61830,Master,403,19,399209,0
Female,40,69870,Master,558,5,92295,0
Female,61,47665,Bachelor,607,11,285294,0
Female,43,35482,Master,666,20,331825,0
Male,21,58410,Bachelor,601,2,264041,0
Male,43,45796,High School,326,26,312532,0
Female,57,68969,Bachelor,807,35,489508,1
Male,26,40970,Bachelor,826,16,381226,1
Male,22,37129,PhD,664,14,318260,1
Male,49,52156,High School,597,38,191825,0
Male,37,23893,Bachelor,660,3,368229,0
Male,67,42988,Bachelor,803,16,438003,1
Male,28,45052,High School,329,37,40673,1
Female,32,53307,High School,738,10,144362,0
Female,49,35055,Master,639,11,65123,0
Male,45,36807,Bachelor,425,31,249636,1
Female,39,67353,Bachelor,665,26,283771,0
Female,58,49798,Master,742,26,78474,0
Female,34,62969,High School,562,39,194916,0
Female,43,41873,PhD,521,28,67904,0
Male,61,49183,Bachelor,301,8,200777,0
Female,24,53218,Bachelor,693,2,108798,1
Female,59,76213,Bachelor,605,38,73245,1
Male,43,46735,PhD,445,28,163701,0
Male,42,47505,High School,829,20,378102,1
Female,27,66472,High School,827,34,381817,1
Female,62,44302,High School,607,9,311330,0
Female,36,54269,High School,639,22,396666,0
Female,28,65164,Bachelor,651,38,225693,0
Female,30,41362,PhD,508,24,51537,0
Female,25,55106,Master,504,23,297976,0
Male,57,76183,High School,314,19,28472,0
Female,21,63819,Bachelor,727,14,184922,0
Female,64,54273,Bachelor,775,20,120735,0
Male,48,46635,High School,597,11,91298,1
Male,45,40935,Master,393,17,14507,0
Male,28,35177,Master,406,22,211186,0
Male,60,72644,Master,718,28,60696,1
Female,18,69732,High School,577,35,470463,0
Female,66,40143,Bachelor,427,4,61373,0
Female,64,55065,High School,758,38,459480,1
Female,69,51669,High School,337,25,20979,0
Female,55,67766,Bachelor,497,38,413265,1
Female,41,55742,Master,656,10,326225,0
Male,64,49657,Master,306,10,29997,0
Female,48,41874,PhD,631,17,192216,0
Male,58,55113,Master,818,11,439046,1
Male,63,44777,High School,493,15,217441,0
Female,67,53310,Bachelor,615,26,90721,0
Male,43,48860,High School,300,35,26746,0
Female,66,44412,High School,361,16,223465,0
Male,67,35408,Bachelor,642,20,276747,1
Female,22,57712,Bachelor,317,36,344121,0
Male,37,50638,Bachelor,670,30,9570,1
Female,69,76811,High School,534,34,168388,0
Female,58,34514,High School,368,26,56604,0
Female,28,59379,High School,746,22,23467,1
Female,50,48760,High School,307,31,263405,0
Female,67,81496,High School,761,16,345525,1
Male,55,58234,Bachelor,610,10,442854,0
Male,44,54870,Master,433,0,386995,0
Male,51,48798,Bachelor,684,27,425159,1
Female,32,39453,Bachelor,355,17,206441,0
Male,49,54670,High School,659,19,241177,1
Female,38,29265,PhD,413,6,265567,0
Female,63,29955,High School,387,36,8340,0
Male,22,65186,Master,437,15,310676,1
Male,23,23568,Master,407,38,213920,1
Female,55,45206,Master,799,22,238220,1
Male,39,34263,High School,834,31,202247,1
Female,35,43962,Bachelor,443,16,194990,0
Female,31,52768,High School,355,18,49188,0
Female,27,64768,High School,305,33,20211,0
Female,63,68264,High School,841,13,280640,0
Female,30,36215,Master,746,2,361525,0
Male,48,43010,Master,684,38,193320,1
Male,47,110788,High School,606,24,231697,1
Female,20,46249,Bachelor,601,10,439361,0
Female,47,36766,PhD,704,14,370848,0
Male,23,39262,Bachelor,809,18,34672,1
Male,46,46337,High School,372,14,86481,0
Female,25,44108,Bachelor,564,14,481454,0
Male,61,46484,Bachelor,526,37,210327,1
Female,62,49678,Bachelor,492,14,172099,0
Male,60,49573,Bachelor,673,8,434467,1
Female,61,35667,Bachelor,309,4,417619,0
Male,50,55539,High School,601,18,490561,1
Female,34,51815,High School,658,23,244135,0
Male,65,57448,High School,351,28,292294,0
Male,28,24283,Bachelor,398,4,80762,0
Female,30,52352,High School,312,21,183012,0
Male,67,20216,Master,689,12,317620,0
Female,28,47366,Bachelor,656,28,369852,1
Male,48,59869,Bachelor,310,15,243780,0
Female,45,65686,PhD,380,35,301346,1
Male,61,55016,Master,560,16,275873,1
Female,23,60130,PhD,305,19,28938,0
Male,58,45514,Bachelor,757,13,239329,1
Female,33,42362,High School,672,5,80302,0
Male,21,90391,Master,780,21,341064,1
Female,52,62407,Master,521,39,30762,0
Female,65,32405,Master,380,8,164796,0
Female,43,23980,Bachelor,814,31,95586,1
Male,29,43023,Bachelor,359,23,25653,0
Female,28,67878,High School,520,32,149579,0
Male,54,50731,Bachelor,648,12,340058,1
Female,42,16639,High School,527,34,178845,0
Male,35,47340,High School,589,5,378435,1
Female,36,49963,Bachelor,592,39,40205,0
Male,40,15000,Bachelor,492,29,278715,0
Male,55,50362,High School,773,37,173392,1
Female,35,34799,Master,556,15,121042,0
Male,43,22466,Master,805,0,53853,1
Male,23,74067,Bachelor,687,17,166262,1
Female,21,34135,Bachelor,697,21,123088,0
Male,61,39990,PhD,665,25,94116,0
Male,68,39791,High School,589,13,434738,0
Male,46,50033,Bachelor,608,36,470017,1
Female,51,76494,High School,577,13,49489,1
Male,34,32057,High School,763,25,265513,0
Female,60,45397,Bachelor,488,35,470493,0
Male,60,51812,Bachelor,477,22,137909,0
Male,33,36968,High School,827,1,320907,1
Male,19,45156,High School,674,38,87945,1
Female,51,58917,Bachelor,753,6,61964,0
Male,25,38664,Bachelor,516,38,135349,1
Male,30,44920,Bachelor,341,21,61398,0
Female,59,43529,High School,493,27,480794,0
Male,25,48442,Bachelor,626,37,349741,1
Female,47,53647,High School,672,19,361666,1
Female,49,58798,High School,764,17,58198,1
Male,53,79063,Bachelor,462,23,352885,1
Female,64,15000,Bachelor,575,32,433359,0
Male,47,47489,High School,663,25,54427,1
Female,18,29533,High School,779,18,142931,1
Female,60,44219,Bachelor,759,12,312651,0
Male,56,63213,High School,564,9,432572,1
Female,34,67966,High School,838,13,353645,0
Female,37,68670,Bachelor,685,8,67570,1
Female,41,68529,High School,384,10,411070,0
Female,67,47390,High School,615,2,169085,0
Female,39,70977,Master,542,39,298798,0
Male,46,73952,Bachelor,768,11,243456,1
Female,39,52082,Bachelor,641,34,244779,1
Male,61,67658,Bachelor,476,38,394049,1
Female,26,50618,Bachelor,429,38,159126,0
Male,54,71153,Master,382,31,340872,0
Male,27,47575,Bachelor,659,38,65254,1
Female,53,40857,High School,387,13,465936,0
Female,54,33200,Bachelor,831,0,181278,1
Female,45,47395,Bachelor,770,26,434235,0
Male,45,51265,Bachelor,797,36,283425,1
Female,59,35812,Bachelor,806,0,273007,0
Male,60,46248,Master,653,28,319347,1
Male,38,42101,Bachelor,715,23,473454,1
Male,41,33845,High School,350,16,303683,0
Female,59,65538,High School,362,34,266137,0
Female,57,68178,Bachelor,388,30,215144,0
Male,19,65471,High School,489,31,440304,0
Male,25,48737,High School,647,18,329582,1
Female,65,49664,High School,837,30,21077,1
Male,44,34052,High School,475,38,423489,1
Female,39,56219,PhD,663,19,391112,1
Male,54,52544,High School,782,27,36052,0
Female,44,92659,High School,418,2,335099,0
Male,46,66306,High School,468,31,149590,1
Female,20,54728,Bachelor,446,21,143468,0
Male,61,49375,High School,736,14,89548,1
Female,30,65019,Bachelor,738,37,176149,1
Female,62,36263,High School,488,18,16981,0
Male,27,67094,Bachelor,459,30,103989,1
Male,53,33692,Master,701,25,73292,1
Female,26,41577,High School,317,4,331986,0
Male,44,22427,Bachelor,439,19,403239,0
Female,51,59211,Bachelor,414,1,228026,0
Male,68,53748,Bachelor,627,20,288363,1
Female,18,41577,Bachelor,524,35,378006,1
Female,49,36062,Bachelor,738,27,482108,1
Female,42,70680,Bachelor,849,19,415310,1
Female,46,47995,Bachelor,685,36,42853,0
Female,24,38490,High School,820,38,141718,1
Female,66,78828,High School,552,35,190117,1
Male,20,40144,Bachelor,397,10,182997,0
Male,37,67079,Master,370,2,179999,1
Male,37,32735,PhD,746,36,148063,1
Female,47,44675,Master,389,19,417194,0
Female,52,57534,Bachelor,729,31,481228,1
Female,52,49132,Bachelor,518,24,40723,0
Female,66,53656,Bachelor,406,20,160859,0
Male,56,41917,Bachelor,775,15,358837,1
Male,44,26033,Bachelor,753,0,381189,0
Female,43,71983,High School,843,22,447308,1
Male,31,42832,High School,425,23,311935,1
Male,34,54335,Bachelor,446,24,80171,1
Female,35,60529,Bachelor,579,6,413148,1
Male,62,54631,High School,323,37,304055,0
Female,69,39371,High School,419,38,390602,0
Male,46,67396,Master,596,34,373092,1
Female,37,57705,Bachelor,381,13,368445,0
Female,44,52981,Bachelor,747,8,370656,0
Female,35,52633,Bachelor,769,2,408162,1
Female,21,75233,Bachelor,722,37,352043,1
Male,18,39049,High School,844,19,150459,1
Female,67,56228,Bachelor,323,32,467357,0
Female,18,42070,Bachelor,360,31,316717,0
Female,43,20955,High School,383,35,120298,0
Male,62,20558,High School,524,25,46405,0
Female,37,34780,High School,485,4,14152,0
Male,69,40123,Bachelor,674,29,234506,1
Female,40,82594,High School,371,16,433631,0
Male,27,60475,Bachelor,373,5,494095,0
Male,28,61825,Bachelor,640,14,377719,1
Female,58,40443,Master,452,0,249085,0
Male,58,50919,Bachelor,395,12,380334,1
Female,22,84592,High School,744,33,109977,1
Female,18,31783,Bachelor,409,29,430064,0
Female,34,56843,Bachelor,757,18,441610,1
Male,39,74169,High School,350,1,205337,0
Male,51,64489,Bachelor,676,11,36455,1
Female,62,77023,Master,372,39,231420,0
Female,58,53192,High School,511,23,333704,0
Male,46,59051,Bachelor,731,10,358908,1
Female,21,51646,Master,467,1,152993,0
Female,22,58000,Bachelor,630,0,430395,0
Female,28,36271,Bachelor,793,27,107895,0
Male,68,61885,High School,442,3,188307,0
Male,38,54413,High School,744,29,168109,1
Male,52,50939,Bachelor,693,6,38275,1
Female,29,76195,Bachelor,811,21,303836,1
Female,43,46019,Master,627,25,276016,0
Female,68,68117,High School,558,28,56764,0
Male,36,69609,Bachelor,736,24,124564,1
Female,62,62833,High School,648,9,95871,0
Female,24,35523,High School,814,19,91143,0
Female,64,55386,Bachelor,748,13,450515,1
Female,24,79377,High School,698,32,395412,0
Male,43,22721,High School,513,4,171033,1
Male,57,47185,High School,845,5,29466,1
Female,22,67434,High School,588,21,413978,0
Male,38,48270,PhD,558,16,155002,1
Male,31,62148,Bachelor,557,14,190285,0
Female,21,71137,High School,687,38,337335,0
Female,40,53480,Master,844,39,186446,1
Male,59,57634,Bachelor,564,27,192974,1
Female,37,51378,Master,612,1,75555,0
Male,32,54467,High School,339,17,106878,0
Female,67,81539,Bachelor,509,26,322019,0
Male,69,49040,Master,571,20,437530,1
Female,62,44702,High School,435,22,188247,0
Male,46,65626,Master,359,6,221272,0
Male,25,37356,Master,809,18,447194,1
Male,58,40779,PhD,814,8,456631,1
Female,65,40874,High School,314,11,349604,0
Male,36,46161,High School,554,29,51255,1
Male,65,46817,High School,834,6,316806,1
Female,56,60486,PhD,534,1,355226,0
Female,63,44864,High School,430,16,85366,0
Male,45,61091,Bachelor,316,10,476394,0
Male,63,62962,Bachelor,484,11,224694,1
Female,44,40197,High School,690,2,54496,0
Female,21,62640,High School,722,20,370627,1
Female,32,64001,Bachelor,741,13,314935,0
Female,52,23585,Master,311,14,494214,0
Female,54,54402,High School,819,9,193307,1
Male,18,42403,Master,379,35,306284,0
Female,20,69545,Bachelor,601,9,377009,0
Male,64,42250,Bachelor,515,16,168148,1
Male,41,29907,Bachelor,547,24,442998,0
Male,44,49552,High School,840,26,113875,1
Female,57,36545,Bachelor,571,32,56632,0
Male,53,62743,Bachelor,432,10,289347,0
Male,51,37870,High School,304,12,360536,0
Female,46,49737,Bachelor,841,0,379170,0
Male,41,73187,High School,440,30,50642,1
Male,41,66477,Bachelor,782,32,393790,1
