gender,age,education_level,income,employment_status,city,credit_score,experience_years,loan_amount,hired,loan_approved
Female,43,Masters,53116.0,Employed,Gotham,335.0,26,93315,Yes,No
Female,31,High School,36674.0,Self-Employed,Gotham,501.0,10,80277,No,Yes
Male,27,Bachelors,178541.0,Employed,Star City,417.0,6,57502,No,No
Male,38,Bachelors,35446.0,Self-Employed,Gotham,468.0,19,92676,No,No
Female,59,Bachelors,154809.0,Self-Employed,Star City,811.0,38,36607,Yes,Yes
Female,45,Bachelors,50760.0,Unemployed,Metropolis,529.0,18,94540,No,No
Female,31,Bachelors,31963.0,Employed,Metropolis,449.0,11,73543,No,Yes
Female,29,Bachelors,138281.0,Employed,Metropolis,507.0,3,57001,No,Yes
Male,42,Masters,188334.0,Employed,Metropolis,360.0,20,88294,Yes,No
Male,27,Bachelors,35177.0,Employed,Metropolis,416.0,1,52191,Yes,No
Male,42,Masters,41160.0,Employed,Metropolis,538.0,26,66957,Yes,No
Male,45,Bachelors,132876.0,Unemployed,Metropolis,347.0,25,90614,Yes,No
Male,54,Bachelors,37543.0,Employed,Gotham,747.0,36,42802,No,Yes
Male,39,Bachelors,137211.0,Employed,Star City,767.0,13,56031,Yes,Yes
Female,49,High School,69278.0,Employed,Star City,592.0,28,91940,No,No
Male,53,High School,190679.0,Employed,Metropolis,,31,54431,No,Yes
Male,33,Bachelors,178293.0,Employed,Metropolis,816.0,11,33671,No,Yes
Female,48,PhD,164395.0,Employed,Metropolis,504.0,18,50668,Yes,Yes
Male,31,Masters,82105.0,Employed,Central City,479.0,16,37573,Yes,Yes
Male,53,High School,106151.0,Employed,Gotham,828.0,30,53542,No,Yes
Female,47,Masters,96968.0,Self-Employed,Metropolis,389.0,27,76598,Yes,Yes
Male,46,Masters,184310.0,Self-Employed,Star City,799.0,18,75258,No,Yes
Male,32,Masters,93830.0,Employed,Metropolis,,15,19782,Yes,Yes
Male,44,Masters,103967.0,Self-Employed,Star City,489.0,27,50862,Yes,No
Male,55,Bachelors,169402.0,Employed,Metropolis,479.0,36,51006,Yes,No
Female,44,Bachelors,38611.0,Employed,Metropolis,319.0,23,97087,Yes,No
Female,50,Bachelors,43872.0,Employed,Gotham,658.0,37,14774,Yes,No
Female,52,Bachelors,79455.0,Employed,Star City,306.0,33,80615,Yes,No
Female,28,Bachelors,64930.0,Employed,Star City,621.0,0,40715,No,No
Female,54,Bachelors,102022.0,Employed,Gotham,567.0,32,22180,No,No
Male,42,PhD,92714.0,Employed,Metropolis,726.0,22,66400,Yes,No
Female,23,PhD,154906.0,Employed,Gotham,595.0,1,91964,No,Yes
Male,39,Masters,138722.0,Employed,Central City,812.0,19,30148,No,Yes
Female,54,Masters,96704.0,Employed,Gotham,686.0,37,62184,No,Yes
Female,58,PhD,30415.0,Employed,Star City,563.0,35,54342,No,No
Male,55,High School,106441.0,Self-Employed,Gotham,389.0,31,63479,Yes,No
Male,41,Bachelors,141736.0,Employed,Gotham,787.0,14,42853,Yes,Yes
Male,56,Bachelors,100779.0,Employed,Gotham,560.0,26,86904,Yes,No
Male,39,Masters,118444.0,Employed,Star City,787.0,15,24066,Yes,Yes
Female,45,Bachelors,134448.0,Employed,Star City,640.0,20,91084,No,No
Female,29,Masters,39888.0,Employed,Gotham,628.0,6,49995,No,Yes
Male,51,Bachelors,154790.0,Employed,Gotham,700.0,26,46059,Yes,No
Male,31,Bachelors,88765.0,Employed,Metropolis,656.0,4,18779,Yes,No
Male,44,Masters,45935.0,Employed,Metropolis,798.0,19,51562,Yes,Yes
Male,32,Bachelors,103002.0,Employed,Central City,734.0,12,74627,No,Yes
Male,23,Bachelors,110631.0,Employed,Metropolis,418.0,0,91687,Yes,Yes
Male,47,Bachelors,31320.0,Self-Employed,Star City,346.0,24,74981,Yes,No
Female,57,Bachelors,76032.0,Employed,Star City,467.0,40,58294,No,Yes
Male,54,Masters,107763.0,Employed,Star City,647.0,36,95436,No,No
Male,34,Bachelors,178979.0,Employed,Central City,803.0,12,93176,Yes,Yes
Female,46,Bachelors,68002.0,Unemployed,Gotham,838.0,25,20353,No,No
Male,25,High School,68912.0,Employed,Star City,595.0,0,22871,Yes,Yes
Female,40,Masters,30552.0,Employed,Metropolis,812.0,16,94955,Yes,Yes
Female,39,Bachelors,50140.0,Employed,Gotham,473.0,15,53377,No,No
Male,58,Masters,115591.0,Employed,Star City,694.0,36,83052,Yes,No
Male,51,Masters,63367.0,Self-Employed,Metropolis,829.0,28,31670,Yes,Yes
Male,40,Bachelors,54061.0,Employed,Star City,602.0,13,20311,Yes,No
Male,44,Masters,126590.0,Employed,Star City,501.0,24,14955,Yes,No
Male,37,Masters,72124.0,Self-Employed,Star City,832.0,12,53360,Yes,Yes
Female,22,Bachelors,163054.0,Self-Employed,Metropolis,455.0,7,23322,No,No
Male,33,Bachelors,146322.0,Employed,Gotham,313.0,15,10152,Yes,No
Male,45,PhD,136134.0,Employed,Metropolis,319.0,16,23473,Yes,No
Male,55,Masters,65765.0,Employed,Star City,756.0,31,81445,Yes,Yes
Female,29,Bachelors,112606.0,Employed,Gotham,472.0,13,37009,No,Yes
Male,39,Bachelors,126422.0,Self-Employed,Gotham,744.0,19,91039,Yes,Yes
Male,26,Masters,,Employed,Gotham,421.0,4,75674,Yes,No
Male,47,Masters,84681.0,Employed,Metropolis,796.0,15,24541,Yes,Yes
Female,51,Masters,92349.0,Employed,Metropolis,483.0,28,81775,No,Yes
Male,34,Bachelors,130063.0,Employed,Metropolis,348.0,12,87270,Yes,Yes
Female,40,Masters,93474.0,Employed,Gotham,480.0,9,61517,Yes,No
Female,50,Bachelors,190585.0,Employed,Star City,,30,90383,Yes,Yes
Male,24,Bachelors,52592.0,Employed,Metropolis,692.0,0,10018,Yes,Yes
Female,47,Masters,142196.0,Employed,Metropolis,647.0,26,52396,No,Yes
Male,33,PhD,53618.0,Self-Employed,Gotham,775.0,11,61113,Yes,Yes
Female,23,Bachelors,81632.0,Employed,Star City,440.0,0,86182,No,No
Female,32,Bachelors,176481.0,Employed,Metropolis,829.0,13,49880,Yes,Yes
Male,49,Masters,39529.0,Employed,Metropolis,770.0,28,97441,No,Yes
Male,39,Bachelors,152164.0,Employed,Metropolis,562.0,27,68206,Yes,No
Female,34,Masters,54154.0,Employed,Metropolis,442.0,19,26484,Yes,No
Male,58,Masters,62882.0,Employed,Metropolis,445.0,31,49606,Yes,No
Male,43,High School,74917.0,Employed,Metropolis,593.0,25,57121,No,No
Male,33,PhD,112488.0,Employed,Star City,837.0,8,72618,Yes,Yes
Female,23,Masters,45701.0,Employed,Gotham,808.0,0,24464,No,Yes
Female,58,Masters,98225.0,Employed,Metropolis,721.0,30,82671,Yes,Yes
Male,28,Masters,149278.0,Self-Employed,Gotham,716.0,4,81565,Yes,Yes
Male,47,Masters,32988.0,Employed,Gotham,406.0,29,72778,Yes,No
Male,47,Bachelors,65919.0,Unemployed,Central City,617.0,25,88189,No,Yes
Female,45,Bachelors,39013.0,Self-Employed,Metropolis,358.0,25,12509,No,No
Male,33,Masters,164646.0,Employed,Star City,557.0,0,56240,Yes,No
Female,37,Bachelors,37838.0,Employed,Star City,724.0,14,11955,Yes,No
Male,44,High School,61368.0,Employed,Metropolis,830.0,17,85382,Yes,Yes
Female,30,Masters,62228.0,Employed,Central City,465.0,1,17078,No,No
Male,53,Masters,76097.0,Employed,Gotham,324.0,26,63932,Yes,No
Male,36,Bachelors,189711.0,Employed,Gotham,303.0,14,92830,Yes,No
Male,58,Masters,175895.0,Employed,Metropolis,302.0,38,81699,No,Yes
Female,34,Masters,184582.0,Employed,Metropolis,717.0,8,55601,Yes,Yes
Female,26,Bachelors,159802.0,Employed,Gotham,661.0,6,34377,No,Yes
Male,32,Masters,68333.0,Employed,Metropolis,668.0,13,82251,Yes,No
Female,31,Bachelors,34435.0,Employed,Gotham,838.0,10,98062,Yes,Yes
Female,34,Bachelors,68418.0,Employed,Metropolis,645.0,8,49373,No,No
Female,36,Bachelors,87955.0,Employed,Gotham,343.0,12,66683,Yes,Yes
Male,28,Bachelors,89507.0,Employed,Gotham,,7,65001,Yes,Yes
Male,49,Bachelors,81033.0,Employed,Metropolis,501.0,24,28754,Yes,No
Male,53,Masters,102972.0,Employed,Gotham,620.0,33,52970,Yes,Yes
Female,56,Masters,132012.0,Employed,Gotham,763.0,29,87863,No,Yes
Female,36,Bachelors,77219.0,Employed,Metropolis,310.0,15,57055,Yes,No
Female,57,Masters,,Self-Employed,Metropolis,526.0,38,23221,Yes,No
Male,42,Bachelors,176595.0,Self-Employed,Metropolis,632.0,20,92122,No,Yes
Male,27,High School,62326.0,Employed,Metropolis,768.0,1,91628,Yes,Yes
Female,22,Masters,142626.0,Employed,Central City,314.0,0,23870,No,No
Female,25,High School,161197.0,Employed,Gotham,356.0,0,13740,No,No
Female,32,Bachelors,96735.0,Employed,Metropolis,629.0,11,29105,No,Yes
Female,47,Masters,134396.0,Employed,Metropolis,363.0,24,84387,No,No
Female,58,Bachelors,46375.0,Employed,Metropolis,529.0,33,51672,No,Yes
Male,44,Masters,163783.0,Employed,Gotham,310.0,23,84902,Yes,No
Male,50,Bachelors,193509.0,Employed,Metropolis,523.0,20,92650,No,Yes
Female,42,High School,189094.0,Employed,Gotham,841.0,18,38519,Yes,Yes
Female,48,Bachelors,39182.0,Employed,Metropolis,805.0,21,60712,Yes,No
Male,34,Bachelors,123177.0,Employed,Star City,821.0,6,68328,Yes,Yes
Male,44,Bachelors,125066.0,Employed,Metropolis,353.0,19,18687,Yes,No
Female,37,Bachelors,154401.0,Employed,Gotham,456.0,24,64560,No,Yes
Male,51,Masters,118148.0,Employed,Star City,704.0,31,98478,Yes,Yes
Male,25,PhD,133806.0,Employed,Gotham,698.0,0,53622,Yes,No
Male,37,Bachelors,173992.0,Employed,Star City,702.0,19,69470,Yes,Yes
Female,52,Bachelors,52144.0,Employed,Gotham,388.0,24,74949,No,No
Female,46,Bachelors,150270.0,Employed,Gotham,485.0,30,78111,No,Yes
Male,33,PhD,163637.0,Employed,Gotham,378.0,7,33892,Yes,No
Female,47,PhD,118909.0,Employed,Central City,444.0,25,11082,Yes,Yes
Male,58,Bachelors,185763.0,Employed,Gotham,313.0,40,61905,Yes,No
Male,54,Masters,160661.0,Employed,Central City,301.0,30,18735,Yes,Yes
Female,49,Bachelors,63799.0,Employed,Metropolis,815.0,34,21255,No,Yes
Female,30,High School,64510.0,Employed,Gotham,365.0,7,20094,Yes,No
Female,33,High School,117919.0,Employed,Central City,545.0,10,96234,No,Yes
Female,26,Bachelors,143043.0,Employed,Metropolis,729.0,0,70515,No,No
Female,49,Bachelors,190047.0,Employed,Central City,531.0,32,97010,Yes,No
Male,56,High School,83242.0,Employed,Metropolis,735.0,32,40651,No,Yes
Male,26,Masters,76546.0,Employed,Central City,652.0,11,44918,No,Yes
Male,55,Bachelors,184339.0,Employed,Gotham,682.0,30,16103,Yes,Yes
Male,55,Bachelors,99939.0,Self-Employed,Metropolis,359.0,31,92803,No,No
Female,34,Bachelors,151265.0,Employed,Star City,769.0,16,70146,No,Yes
Male,35,Bachelors,34897.0,Employed,Metropolis,710.0,12,64390,No,Yes
Female,32,Bachelors,161235.0,Employed,Metropolis,382.0,11,59158,Yes,Yes
Female,59,Bachelors,82540.0,Employed,Metropolis,373.0,31,37011,Yes,Yes
Female,25,Bachelors,60030.0,Employed,Gotham,610.0,3,99565,Yes,No
Male,54,Bachelors,85313.0,Employed,Central City,753.0,33,68889,No,Yes
Female,28,Bachelors,158070.0,Employed,Metropolis,325.0,12,72267,No,Yes
Male,29,Bachelors,59870.0,Employed,Gotham,725.0,5,61241,Yes,Yes
Male,58,Masters,146565.0,Self-Employed,Metropolis,,37,14191,Yes,Yes
Female,31,Masters,154703.0,Employed,Star City,542.0,13,15623,No,No
Male,36,Bachelors,190554.0,Employed,Metropolis,622.0,14,12293,No,Yes
Male,59,Bachelors,192130.0,Employed,Metropolis,479.0,40,30593,Yes,No
Female,36,High School,,Employed,Metropolis,565.0,23,87302,No,Yes
Male,26,Bachelors,122407.0,Employed,Gotham,849.0,4,71384,Yes,Yes
Female,50,Bachelors,,Employed,Star City,679.0,33,45992,No,Yes
Female,40,Bachelors,187451.0,Employed,Gotham,376.0,20,93160,Yes,Yes
Female,31,Bachelors,139396.0,Employed,Metropolis,823.0,12,25848,Yes,Yes
Male,33,PhD,53674.0,Employed,Gotham,348.0,13,71173,Yes,No
Male,25,Bachelors,167662.0,Employed,Star City,553.0,7,25759,Yes,Yes
Female,52,Bachelors,192504.0,Employed,Metropolis,679.0,34,17517,Yes,Yes
Male,39,Bachelors,70426.0,Employed,Metropolis,548.0,16,40980,Yes,Yes
Female,37,PhD,79584.0,Employed,Metropolis,371.0,12,79126,Yes,Yes
Female,57,Masters,199087.0,Employed,Star City,746.0,36,18455,Yes,Yes
Female,46,Bachelors,103251.0,Employed,Gotham,805.0,18,16944,Yes,Yes
Male,44,Masters,99353.0,Employed,Gotham,552.0,24,74627,Yes,No
Male,33,Bachelors,125029.0,Unemployed,Metropolis,598.0,13,74723,Yes,Yes
Female,55,Masters,112990.0,Employed,Metropolis,359.0,32,37100,Yes,No
Male,57,Masters,,Employed,Central City,656.0,35,76176,No,Yes
Male,58,Bachelors,185762.0,Employed,Metropolis,456.0,39,10858,Yes,No
Female,24,Masters,138286.0,Self-Employed,Central City,641.0,4,47011,No,Yes
Female,30,Bachelors,63762.0,Employed,Gotham,501.0,11,25437,No,Yes
Female,39,Bachelors,149006.0,Employed,Metropolis,334.0,20,35550,No,Yes
Female,56,Bachelors,198571.0,Unemployed,Gotham,834.0,34,35861,No,Yes
Male,55,Masters,168742.0,Self-Employed,Central City,755.0,32,51011,Yes,Yes
Female,35,Bachelors,47341.0,Employed,Gotham,464.0,14,38929,Yes,No
Female,25,High School,125140.0,Self-Employed,Star City,327.0,8,11019,No,No
Male,50,Masters,114074.0,Employed,Metropolis,671.0,29,34284,No,Yes
Male,36,Bachelors,47015.0,Employed,Gotham,613.0,19,87350,Yes,Yes
Female,49,Bachelors,140180.0,Employed,Star City,583.0,18,85640,No,Yes
Female,37,Bachelors,154581.0,Self-Employed,Central City,597.0,16,84015,No,Yes
Female,33,Bachelors,79849.0,Employed,Gotham,774.0,11,80909,No,Yes
Female,26,Bachelors,144719.0,Employed,Gotham,648.0,0,42371,No,Yes
Male,55,High School,45852.0,Unemployed,Metropolis,744.0,26,23234,No,Yes
Male,22,PhD,85361.0,Employed,Metropolis,506.0,1,73172,Yes,No
Female,53,Masters,141794.0,Employed,Metropolis,716.0,31,16357,Yes,Yes
Female,47,Bachelors,182330.0,Employed,Metropolis,738.0,28,31595,Yes,Yes
Female,38,Bachelors,92355.0,Employed,Metropolis,464.0,5,55599,Yes,No
Female,48,Bachelors,154773.0,Employed,Metropolis,719.0,30,17772,Yes,Yes
Male,45,Masters,57410.0,Self-Employed,Central City,670.0,27,90103,Yes,Yes
Male,56,Bachelors,170967.0,Employed,Gotham,565.0,28,63890,Yes,No
Female,47,Bachelors,63924.0,Employed,Gotham,578.0,30,38684,No,No
Female,59,Masters,142622.0,Employed,Central City,781.0,40,64085,Yes,Yes
Female,44,Bachelors,100831.0,Employed,Metropolis,816.0,16,69924,Yes,Yes
Female,43,Bachelors,173336.0,Employed,Gotham,381.0,21,21708,Yes,Yes
Female,25,Masters,58038.0,Employed,Gotham,418.0,3,17670,No,No
Male,30,Masters,,Employed,Metropolis,602.0,0,80470,Yes,Yes
Male,25,Bachelors,39136.0,Self-Employed,Star City,514.0,1,12666,Yes,No
Male,28,Masters,43213.0,Employed,Metropolis,327.0,11,77989,Yes,No
Female,44,High School,138546.0,Employed,Metropolis,797.0,18,95672,No,Yes
Male,23,Masters,57431.0,Self-Employed,Metropolis,836.0,8,51247,Yes,Yes
Male,45,Bachelors,72290.0,Employed,Central City,818.0,24,12473,Yes,Yes
Male,52,Masters,126815.0,Employed,Gotham,493.0,26,35565,No,Yes
Male,52,PhD,160374.0,Unemployed,Gotham,741.0,30,32608,Yes,Yes
Female,55,PhD,72747.0,Employed,Gotham,335.0,27,51214,No,No
Male,45,PhD,105974.0,Employed,Metropolis,557.0,24,40548,Yes,No
Male,47,Bachelors,109763.0,Employed,Gotham,412.0,24,44602,Yes,No
Female,37,Bachelors,159132.0,Employed,Gotham,593.0,13,30735,Yes,No
Male,34,Bachelors,102994.0,Employed,Metropolis,313.0,6,26806,No,No
Male,36,Masters,,Employed,Gotham,439.0,13,71637,Yes,Yes
Male,48,Masters,175959.0,Employed,Metropolis,670.0,26,56292,Yes,Yes
Female,25,Bachelors,30051.0,Employed,Metropolis,,0,39228,No,No
Male,37,PhD,97695.0,Employed,Star City,396.0,19,57986,Yes,No
Female,51,Masters,58491.0,Employed,Gotham,787.0,30,52855,Yes,Yes
Male,51,PhD,46080.0,Employed,Gotham,641.0,25,90947,No,No
Male,57,Masters,64880.0,Employed,Gotham,791.0,34,35864,Yes,Yes
Male,24,Bachelors,141056.0,Employed,Metropolis,799.0,5,48840,No,Yes
Male,43,Bachelors,77361.0,Employed,Gotham,731.0,26,35924,Yes,Yes
Female,43,Bachelors,117685.0,Employed,Star City,,27,10554,No,Yes
Female,33,Bachelors,110875.0,Employed,Gotham,381.0,18,59158,Yes,Yes
Female,42,Masters,124841.0,Employed,Central City,479.0,14,93685,Yes,No
Male,25,Masters,177665.0,Unemployed,Central City,714.0,0,77627,Yes,Yes
Male,52,Masters,177239.0,Employed,Gotham,404.0,24,37749,Yes,Yes
Female,52,Masters,118091.0,Employed,Star City,680.0,34,60809,No,Yes
Male,44,High School,63005.0,Employed,Gotham,628.0,21,74076,Yes,Yes
Male,41,Bachelors,95471.0,Employed,Gotham,548.0,24,84539,Yes,Yes
Male,36,High School,156718.0,Employed,Metropolis,,8,65246,Yes,Yes
Male,44,Bachelors,136379.0,Employed,Gotham,432.0,19,17463,Yes,No
Female,49,Bachelors,80728.0,Self-Employed,Central City,539.0,23,61114,No,Yes
Female,37,High School,169763.0,Employed,Star City,377.0,19,84045,No,No
Female,58,Bachelors,39756.0,Employed,Star City,760.0,38,88041,No,Yes
Male,42,Bachelors,153670.0,Self-Employed,Metropolis,424.0,11,34466,No,Yes
Male,36,Masters,66308.0,Employed,Metropolis,310.0,12,28932,No,No
Male,38,Bachelors,94079.0,Employed,Metropolis,767.0,19,48867,Yes,Yes
Male,58,Bachelors,95524.0,Unemployed,Metropolis,706.0,40,28984,Yes,Yes
Male,34,Bachelors,39327.0,Employed,Gotham,326.0,13,45862,Yes,No
Female,40,PhD,189592.0,Employed,Metropolis,506.0,18,64896,Yes,Yes
Female,51,Bachelors,135561.0,Self-Employed,Gotham,521.0,25,12790,No,Yes
Male,39,Bachelors,124436.0,Employed,Gotham,611.0,21,69805,No,Yes
Female,35,Masters,46533.0,Self-Employed,Metropolis,681.0,8,54449,Yes,No
Female,57,Bachelors,127417.0,Employed,Metropolis,614.0,28,37245,No,Yes
Female,57,PhD,123318.0,Employed,Star City,507.0,35,93593,No,Yes
Female,41,Bachelors,70429.0,Employed,Metropolis,595.0,17,41336,No,Yes
Male,40,Bachelors,116348.0,Employed,Metropolis,701.0,20,61515,Yes,Yes
Male,28,High School,103065.0,Employed,Star City,734.0,7,46269,Yes,Yes
Male,25,Masters,181725.0,Employed,Central City,421.0,9,45582,Yes,No
Female,55,Bachelors,123396.0,Employed,Star City,405.0,34,98562,No,No
Male,23,Bachelors,,Employed,Metropolis,335.0,5,73720,Yes,Yes
Male,26,Bachelors,163180.0,Employed,Metropolis,849.0,0,57827,No,Yes
Male,31,Bachelors,99483.0,Employed,Central City,371.0,11,30517,Yes,No
Male,53,High School,37899.0,Employed,Star City,466.0,29,57365,No,No
Female,34,Masters,174444.0,Employed,Gotham,520.0,10,92131,Yes,No
Female,26,Masters,198754.0,Self-Employed,Metropolis,375.0,0,79065,No,Yes
Male,31,Bachelors,125909.0,Employed,Metropolis,510.0,15,89497,Yes,Yes
Male,31,Bachelors,134971.0,Employed,Metropolis,527.0,8,72430,Yes,Yes
Male,59,Masters,121724.0,Self-Employed,Gotham,752.0,33,39456,Yes,Yes
Male,48,Bachelors,197655.0,Employed,Metropolis,786.0,28,38212,Yes,Yes
Male,42,Bachelors,59295.0,Employed,Central City,773.0,18,75346,Yes,Yes
Male,29,Bachelors,110565.0,Employed,Metropolis,789.0,3,23930,Yes,Yes
Male,22,Masters,79574.0,Self-Employed,Star City,675.0,11,42915,Yes,No
Female,49,PhD,131067.0,Employed,Metropolis,530.0,22,75202,Yes,Yes
Female,35,Masters,60066.0,Unemployed,Gotham,524.0,20,77245,Yes,No
Male,42,High School,170017.0,Self-Employed,Metropolis,774.0,16,94942,No,Yes
Male,51,Bachelors,59418.0,Employed,Star City,379.0,31,41106,No,No
Female,42,Masters,112607.0,Employed,Gotham,509.0,19,79526,No,No
