gender,age,income,education,credit_score,employment_years,loan_amount,loan_approved
Male,40,41497,High School,681,26,32801,1
Female,29,63459,Bachelor,415,21,130486,0
Male,30,61518,High School,701,17,173416,1
Female,50,29250,PhD,536,19,39475,1
Male,32,68871,High School,661,39,243897,1
Male,33,52446,Bachelor,789,24,415048,1
Male,51,78077,Bachelor,742,22,374369,1
Female,26,35278,Master,531,7,147121,0
Female,59,60398,High School,714,18,112826,0
Female,69,33860,High School,592,22,373986,0
Female,44,49650,Bachelor,679,31,403865,1
Male,65,20864,Master,301,7,376143,0
Female,32,30127,High School,573,3,341149,0
Male,52,30582,Master,517,13,478512,0
Male,51,45531,High School,398,3,244503,1
Female,57,62721,PhD,414,32,369253,1
Female,47,44471,Master,666,8,309684,0
Female,65,55671,Master,448,39,384069,0
Female,40,27952,Bachelor,598,0,306152,0
Female,26,65345,High School,749,37,142795,1
Female,49,58330,High School,796,20,480421,1
Female,52,60592,High School,836,18,24867,0
Female,66,30566,High School,763,26,236432,1
Male,49,30138,Master,555,21,133210,1
Female,62,44625,Bachelor,675,5,275079,1
Female,33,57590,High School,698,35,21447,1
Male,49,82172,Bachelor,834,12,251399,1
Female,42,41941,Bachelor,411,25,227569,0
Male,47,60976,PhD,626,2,467401,1
Male,54,30672,Master,665,29,306307,1
Female,54,24759,High School,338,34,470860,1
Male,52,81520,High School,540,2,372524,1
Male,62,39067,High School,660,17,184038,1
Male,25,46461,Master,600,28,425928,1
Male,57,15000,Bachelor,622,38,79780,0
Female,66,40114,High School,474,24,426285,0
Male,64,53078,Bachelor,442,30,226686,0
Female,53,28633,Bachelor,333,0,101533,0
Male,42,51813,Bachelor,371,24,412529,0
Male,35,47122,Bachelor,847,29,332471,1
Male,56,64955,Bachelor,375,21,7004,1
Male,27,63430,Master,437,38,43411,1
Female,18,68521,Bachelor,335,4,56795,0
Female,21,62547,High School,403,37,29497,0
Male,43,36003,High School,301,24,367021,0
Male,28,55150,Bachelor,822,27,81090,1
Female,32,44340,Bachelor,585,9,152998,1
Male,49,65504,High School,700,22,494286,1
Male,32,47397,Bachelor,337,19,470112,0
Male,45,52786,Master,353,12,22903,0
Female,40,52278,Master,379,27,468620,0
Female,20,63336,Bachelor,445,15,35949,0
Female,68,25204,High School,760,12,313680,0
Male,49,51326,Bachelor,694,37,476473,1
Male,37,57197,Bachelor,687,17,466495,1
Female,31,46553,Bachelor,692,32,320493,1
Female,52,35932,High School,709,19,311606,0
Female,57,56015,Bachelor,696,26,182921,1
Female,59,69934,Master,650,19,138357,0
Male,26,56289,Bachelor,664,17,147265,1
Female,64,51781,High School,499,1,408607,0
Male,41,29806,High School,841,21,63341,1
Female,58,79814,High School,774,24,74994,1
Male,21,60238,Master,471,5,285987,0
Female,29,61007,High School,662,38,338990,1
Female,68,52106,Bachelor,370,18,199972,0
Female,41,58244,Bachelor,351,28,256999,0
Female,18,74341,Master,525,27,140014,0
Male,31,41532,Bachelor,643,13,125048,1
Female,48,75863,High School,359,13,456673,0
Male,27,68096,High School,401,24,293800,0
Male,50,61237,Bachelor,766,14,341325,1
Male,53,41978,Bachelor,353,14,368538,0
Male,59,67489,High School,468,30,274420,1
Female,52,35415,High School,571,24,198088,0
Male,65,61395,High School,314,13,320622,0
Male,35,29574,High School,774,14,40602,1
Male,42,33624,High School,824,4,165301,1
Female,29,50367,Bachelor,403,26,339166,0
Female,45,55932,Bachelor,332,10,60224,0
Female,68,21909,Bachelor,325,32,379958,0
Female,26,19173,High School,595,17,126330,0
Male,41,30470,Bachelor,843,8,272016,1
Male,37,64361,Master,388,8,228247,1
Female,43,64834,Bachelor,391,26,141522,0
Male,22,37502,Bachelor,623,3,294383,1
Male,44,35132,Master,616,39,264274,1
Male,45,33684,Master,797,23,253606,0
Female,54,31546,Bachelor,827,17,255990,1
Female,57,41137,High School,571,10,189638,0
Male,24,51301,Master,667,17,321003,1
Female,36,77480,High School,572,37,313019,1
Female,39,45474,PhD,711,37,299950,1
Female,35,56013,High School,453,1,462398,0
Female,32,75648,High School,454,9,147046,0
Female,50,43564,High School,688,32,344825,0
Male,56,47755,Bachelor,802,23,290494,1
Female,68,51307,Bachelor,346,35,377416,0
Male,22,57459,Bachelor,586,6,237533,1
Male,57,53447,Master,622,1,375614,1
Female,54,51312,High School,661,16,341569,0
Male,22,76642,High School,761,30,200095,1
Male,54,54079,High School,691,0,10745,1
Male,60,37059,Bachelor,530,21,301126,1
Female,24,48265,PhD,434,4,86851,0
Female,19,16788,High School,721,19,10613,0
Male,47,50376,High School,591,26,146412,1
Female,66,48353,Bachelor,828,10,64126,0
Female,28,53275,Bachelor,552,32,253086,0
Female,69,77623,Bachelor,552,38,389424,0
Female,54,38167,PhD,571,10,209452,0
Male,56,63085,PhD,640,12,195468,1
Male,50,50865,Master,775,26,257204,1
Female,26,18044,Bachelor,827,0,399783,0
Female,28,36826,Bachelor,492,15,251657,0
Male,29,47950,High School,603,13,293905,0
Male,27,36694,Master,306,32,399616,1
Female,69,62671,Bachelor,787,38,63802,1
Male,28,47206,Bachelor,816,7,12197,1
Female,50,29446,Bachelor,666,0,54591,0
Female,37,42989,High School,847,28,37049,1
Male,22,38891,Master,830,3,292764,1
Male,64,53497,High School,572,35,449814,0
Female,41,59641,Master,423,16,456537,0
Female,49,27861,Master,458,1,42613,0
Male,48,42940,High School,841,17,433349,1
Female,59,47768,High School,657,6,129910,1
Male,61,77841,High School,775,7,190249,1
Female,31,60436,Bachelor,644,35,231447,0
Male,36,46430,Bachelor,312,38,108908,0
Male,59,38380,High School,516,8,442310,0
Male,41,48543,High School,775,6,260243,1
Female,49,19815,High School,444,23,34503,0
Female,29,49711,High School,700,27,377003,1
Male,67,61384,Bachelor,429,14,196810,1
Female,38,38864,High School,425,36,425377,0
Male,68,45527,Bachelor,848,26,455822,1
Male,53,64405,Bachelor,372,1,496739,0
Female,42,29241,Bachelor,392,34,467369,0
Female,68,42162,Bachelor,405,29,391980,0
Male,31,45087,Bachelor,355,31,442322,0
Female,25,57466,High School,727,24,496282,1
Female,46,53602,Bachelor,848,25,273643,1
Male,42,53805,High School,474,11,87609,1
Male,40,60224,Master,813,35,88781,1
Female,53,53523,Bachelor,801,28,469451,0
Male,65,47026,High School,766,4,102441,1
Male,29,59346,High School,460,24,479522,0
Female,67,57219,Bachelor,674,32,115542,1
Male,29,49196,Bachelor,789,19,471221,1
Male,35,32226,Master,650,3,434870,1
Female,53,72886,High School,460,14,50408,0
Female,65,52747,Bachelor,830,9,85282,1
Male,67,32647,Bachelor,323,29,325211,0
Male,36,30277,High School,479,34,462125,1
Female,65,54893,High School,687,7,63152,1
Female,52,57855,Master,375,22,331669,0
Female,66,36982,High School,390,29,422793,0
Female,44,54777,High School,306,22,345704,0
Male,20,52947,Bachelor,764,1,217586,1
Female,30,41273,Bachelor,612,6,487671,0
Female,55,55283,Bachelor,520,1,358273,0
Male,68,50140,Master,833,36,379766,1
Female,58,53369,High School,673,28,41181,1
Male,36,66931,Bachelor,351,28,414757,0
Female,60,32385,High School,679,38,60386,0
Female,52,48076,High School,421,37,389951,0
Female,32,45906,Bachelor,600,28,484343,1
Male,33,51674,Master,615,21,242709,1
Male,52,31012,High School,489,36,406178,1
Female,22,56544,Bachelor,615,27,496797,0
Male,24,35252,PhD,564,32,408720,0
Male,38,34381,High School,570,13,307020,1
Male,58,68106,Bachelor,392,34,122109,1
Male,18,61913,Bachelor,379,26,222128,0
Male,42,62042,High School,726,10,459918,1
Male,47,38090,High School,489,4,207651,1
Female,36,42650,Bachelor,754,12,267379,1
Female,41,40779,Bachelor,744,26,79251,1
Male,63,40206,Master,783,33,90501,1
Female,32,58993,High School,308,26,372297,0
Female,52,64382,Bachelor,660,25,154398,0
Female,41,29195,High School,619,0,450798,0
Female,53,28203,High School,358,39,284198,0
Male,66,80036,High School,449,21,206776,0
Female,31,47780,High School,568,15,273555,0
Female,39,48648,Master,466,29,141903,0
Male,56,58470,High School,515,29,186767,1
Male,25,22716,High School,371,25,162086,0
Female,65,28921,Master,419,25,490869,0
Female,33,67301,High School,452,5,258262,0
Female,63,37093,High School,545,27,286921,0
Female,34,71978,Master,485,30,232418,1
Female,22,58514,High School,769,34,214752,1
Female,58,57110,Bachelor,718,30,352966,1
Male,52,57807,High School,513,31,366512,1
Female,54,74791,Bachelor,455,26,74968,0
Female,69,56729,Master,667,17,99397,1
Male,35,51404,High School,347,13,405387,0
Male,38,64022,Bachelor,538,7,140307,1
Male,59,51035,Bachelor,798,15,399104,1
Male,18,74144,High School,430,13,154721,0
Female,34,45818,Master,696,13,17596,0
Female,25,25544,Bachelor,689,35,389374,1
Female,46,39172,High School,727,35,96136,0
Female,37,52757,Bachelor,770,14,223003,0
Female,66,61745,Bachelor,795,28,138304,1
Female,67,71815,Bachelor,486,21,462086,0
Male,54,64060,Bachelor,844,38,275941,1
Female,56,51166,High School,622,21,448333,0
Male,22,54780,Bachelor,350,11,476709,1
Male,27,65557,High School,808,23,355861,1
Female,23,45532,Bachelor,444,4,412590,0
Male,24,75246,Master,744,17,196695,1
Female,52,30790,Bachelor,737,24,179106,1
Male,44,72549,High School,348,34,431543,1
Female,59,40726,Master,370,18,466103,0
Male,38,56204,Bachelor,749,17,294400,1
Female,41,55436,Bachelor,498,38,349190,0
Female,46,58835,Bachelor,790,39,81636,1
Female,44,42593,Bachelor,725,19,202297,0
Female,55,74921,PhD,435,15,242961,0
Female,19,27614,Bachelor,412,39,291640,0
Male,42,52188,Bachelor,658,16,286387,1
Male,19,40387,Bachelor,771,3,363656,1
Male,55,41708,Bachelor,757,11,26753,1
Female,35,62399,Bachelor,508,29,313437,0
Male,59,69635,Bachelor,695,2,84688,1
Female,24,47652,High School,481,27,419128,0
Female,66,57362,Bachelor,785,28,108170,1
Male,21,46493,High School,603,3,212429,0
Male,61,48718,High School,407,24,127028,0
Female,57,31869,High School,636,24,296564,0
Male,58,42864,High School,314,18,58980,0
Female,27,83387,Bachelor,820,15,187974,1
Female,68,76820,High School,619,14,433442,0
Female,58,32866,Bachelor,754,9,179202,1
Female,45,54813,Bachelor,642,32,44493,1
Female,47,61486,High School,696,5,343010,0
Male,41,70710,Master,653,4,52421,0
Male,53,60486,Master,634,31,374647,1
Female,33,46286,High School,822,8,452966,1
Female,50,49261,Bachelor,368,32,288668,0
Male,27,47538,Bachelor,442,32,355084,0
Male,65,55576,High School,840,19,334265,1
Female,38,57159,Bachelor,409,30,154776,0
Male,44,71495,Master,652,31,134584,1
Female,38,63892,Bachelor,482,22,475961,0
Male,44,58489,High School,634,2,294913,0
Female,49,42039,Bachelor,593,0,229183,0
Male,22,49873,Bachelor,756,23,66702,1
Female,52,62242,High School,787,30,430474,1
Male,39,54483,High School,351,20,6605,0
Male,53,56540,Master,357,28,79259,0
Female,27,39778,Bachelor,420,32,143829,0
Male,51,46490,Bachelor,687,4,404097,1
Female,69,48611,Master,307,38,425733,0
Male,23,63502,Bachelor,811,21,32755,1
Female,31,30691,High School,362,19,16605,0
Male,54,53876,Bachelor,666,12,337661,1
Female,36,58387,Bachelor,647,34,312648,0
Male,49,23171,Bachelor,466,18,32972,0
Female,37,63179,Master,648,36,487468,0
Male,38,54117,Bachelor,327,31,117835,0
Female,32,27761,Bachelor,744,25,312711,1
Female,34,79729,Master,582,0,286887,0
Female,61,47400,High School,463,5,216991,0
Male,62,15000,Master,382,8,79224,0
Female,69,65941,High School,594,1,443295,1
Male,41,55909,Bachelor,604,2,352494,0
Female,38,56955,Bachelor,380,36,153219,0
Male,65,44471,High School,646,9,89022,1
Female,32,43526,High School,545,5,292268,0
Male,28,46351,High School,719,38,413248,1
Male,54,60817,Bachelor,743,4,246179,1
Female,47,44746,Bachelor,527,26,187640,0
Male,35,51780,Bachelor,331,28,16439,0
Male,45,63324,High School,376,39,62494,0
Female,30,61811,High School,449,8,182242,0
Male,60,53904,High School,526,15,130769,0
Male,27,43534,Bachelor,487,39,87562,0
Male,64,28184,Master,485,15,177254,0
Female,56,70354,Bachelor,603,15,267664,1
Male,29,48914,Bachelor,832,17,41872,1
Female,67,50118,High School,381,0,475815,0
Male,55,31755,Master,835,7,413622,1
Male,58,46229,Bachelor,751,12,438475,1
Male,65,44872,Master,620,31,83059,1
Female,57,54085,PhD,531,29,438598,0
Male,43,58420,Master,337,14,419113,0
Male,61,36398,Bachelor,616,27,50635,0
Female,36,54571,High School,656,26,460763,0
Male,40,53129,High School,758,6,366065,0
Female,65,66447,Master,616,21,50024,0
Female,53,65403,Master,773,13,499752,1
Male,44,37286,High School,444,14,41656,0
Female,69,58385,Bachelor,743,7,98992,0
Male,33,66558,High School,683,14,292102,1
Female,24,57967,Bachelor,563,20,157709,0
Female,30,19315,Bachelor,562,36,86668,0
Male,29,43065,Master,808,12,119343,1
Female,44,40417,Master,454,10,420715,0
Female,50,59263,Bachelor,433,37,490697,0
Female,48,21755,PhD,676,12,222033,0
Female,28,78273,High School,725,23,211055,1
Female,34,59439,Bachelor,704,39,346120,1
Male,55,54720,High School,376,32,49456,0
Female,19,37822,High School,555,22,290768,0
Male,20,33772,High School,845,16,234696,1
Female,51,61596,High School,699,33,22729,0
Male,67,38096,High School,415,8,267988,0
Male,49,15000,High School,812,21,225955,1
Female,41,43364,High School,721,30,384801,0
Female,41,20658,Bachelor,761,20,127645,0
Female,30,49313,Bachelor,627,15,78713,1
Male,39,60149,Master,678,38,46948,1
Female,36,40932,High School,822,27,400626,0
Male,47,71166,High School,555,14,423861,1
Male,56,62437,High School,521,38,433086,1
Male,38,36874,Master,691,33,228832,1
Female,65,41950,Bachelor,567,6,411184,0
Female,40,57983,High School,462,21,125372,0
Male,33,45343,High School,813,2,207996,1
Male,59,42493,Bachelor,351,1,433993,0
Female,24,47191,High School,699,9,189528,0
Male,37,18997,High School,601,33,69960,1
Female,65,48162,PhD,361,27,395915,0
Male,59,79299,Bachelor,465,7,142480,1
Female,31,46809,High School,325,31,454965,0
Male,43,73305,Master,423,23,34442,0
Female,39,49545,High School,686,37,189657,0
Male,58,59916,High School,660,5,122845,1
Female,53,42104,High School,724,35,271454,1
Female,43,70012,Master,766,15,132846,1
Male,29,53311,Bachelor,514,7,223869,1
Male,66,22457,Master,642,25,101849,1
Female,48,61959,High School,764,5,326461,0
Male,57,48694,High School,337,31,454305,1
Female,21,35297,Bachelor,571,36,54268,0
Male,57,36603,Bachelor,620,38,415759,0
Female,44,65608,High School,507,21,452649,0
Female,26,64998,Master,527,15,38988,0
Female,29,38621,Bachelor,589,9,401621,1
Female,46,44427,Bachelor,429,31,175321,0
Female,45,31248,High School,696,29,321919,0
Female,33,27309,High School,408,25,38989,0
Male,25,70615,High School,742,4,278656,0
Male,64,72379,High School,700,2,395181,1
Male,66,52175,High School,763,10,195840,1
Female,30,35466,Bachelor,368,3,138599,0
Female,31,63427,PhD,457,19,337893,0
Female,32,58399,High School,388,11,76462,0
Female,26,47378,High School,506,38,179897,0
Male,61,52085,Bachelor,648,4,76259,1
Male,49,54000,Bachelor,719,32,132625,1
Female,39,50110,Bachelor,821,25,395882,1
Male,68,46637,High School,428,17,87628,0
Male,42,59758,Master,443,0,49963,0
Female,58,39692,High School,752,14,39229,1
Male,43,35517,Bachelor,780,9,418219,1
Female,62,28122,Bachelor,756,27,30997,1
Male,46,34461,High School,480,13,380705,1
Female,35,61139,Bachelor,531,30,90392,0
Female,53,64320,High School,842,39,95958,1
Female,37,52229,High School,442,33,132575,0
Female,50,54084,Bachelor,792,37,181085,0
Male,37,23048,Bachelor,568,32,188749,1
Female,20,39941,PhD,706,25,81530,0
Female,60,33662,High School,362,32,145561,0
Female,51,41353,PhD,841,36,289334,0
Male,23,54345,High School,635,32,176799,1
Female,48,68493,Master,426,17,430124,0
Male,52,49236,Bachelor,467,2,491998,0
Female,49,25678,High School,667,32,257190,0
Male,59,49614,PhD,813,30,289488,1
Male,26,65163,High School,675,12,423376,1
Female,63,22262,High School,528,13,488607,0
Male,65,58296,Bachelor,485,11,279875,1
Female,44,36113,High School,425,23,34207,0
Female,41,64999,High School,556,13,282727,0
Female,67,39856,Master,559,24,62317,0
Male,39,61018,PhD,555,27,241883,1
Male,47,56359,High School,442,7,212268,0
Female,53,32890,PhD,658,32,148826,0
Female,43,62589,Bachelor,650,26,84807,0
Male,67,39765,High School,629,12,131600,0
Female,19,70487,Bachelor,620,15,77845,0
Female,59,61254,Bachelor,781,27,12623,1
Female,61,61526,Bachelor,406,35,473982,0
Male,24,66669,High School,473,3,212758,0
Male,44,47292,High School,532,15,164989,0
Male,33,58645,Bachelor,550,38,164567,1
Female,66,49420,Bachelor,421,28,121951,0
Female,63,50767,PhD,563,2,313205,0
Female,46,41603,High School,641,35,297925,1
Male,38,30888,Bachelor,603,22,269461,1
Female,43,47790,High School,838,2,146693,1
Female,35,45087,High School,655,6,455779,0
Female,18,69117,Bachelor,321,3,235533,0
Female,19,43332,Bachelor,402,38,431913,0
Male,31,38614,Bachelor,477,25,144588,1
Male,55,51944,High School,722,7,468985,0
Female,32,33557,Bachelor,714,10,302335,1
Male,53,28044,High School,362,5,310841,0
Male,41,47532,PhD,533,35,100463,1
Female,42,50637,Bachelor,419,24,129147,0
Female,26,51884,Master,485,7,204258,0
Male,32,34095,Bachelor,607,38,98866,0
Female,54,28256,Bachelor,823,7,30818,0
Male,23,51701,High School,536,34,380432,1
Female,60,59667,High School,425,4,290819,0
Male,62,51955,Master,597,2,199050,1
Female,29,47523,Bachelor,626,21,30745,0
Male,44,55012,Bachelor,623,5,230464,0
Male,24,62628,Master,410,18,163539,0
Male,45,49010,Master,508,25,236826,1
Female,69,47810,Bachelor,444,29,225967,0
Male,29,36378,Master,713,9,413176,1
Male,59,62805,Bachelor,817,28,61347,1
Female,52,24238,High School,762,19,213117,1
Female,19,42761,Master,349,3,411709,0
Male,43,48373,High School,468,14,43023,0
Male,37,35994,Bachelor,615,2,77103,0
Female,42,28395,High School,352,19,211718,0
Female,38,63068,High School,481,11,406258,0
Female,18,43404,Bachelor,365,16,347680,0
Female,45,45195,Bachelor,515,0,200118,0
Female,55,33761,Bachelor,356,28,144930,0
Male,30,60827,Bachelor,693,21,66446,1
Female,47,31671,Bachelor,711,4,320152,0
Male,27,46190,Bachelor,624,27,101989,1
Male,62,72792,PhD,692,10,408125,1
Male,39,71247,Master,785,25,104262,1
Female,46,40192,Bachelor,401,3,150066,0
Male,22,69673,Master,627,8,27086,1
Male,25,45733,High School,476,37,113340,0
Female,28,30338,High School,543,16,132672,0
Male,43,44929,High School,457,32,403927,0
Male,36,41586,Bachelor,564,13,49818,1
Female,36,75108,Bachelor,372,8,91805,0
Male,47,24933,High School,617,7,457972,0
